,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
349,Airai,TL,-8.93,73.45,43,38,4.61
350,Barrow,US,71.29,8.6,71,1,12.75
351,Avarua,CK,-21.21,82.4,69,79,6.93
352,Rikitea,PF,-23.12,77.45,69,71,7.36
353,Barrow,US,71.29,8.6,71,1,12.75
354,East London,ZA,-33.02,67.35,60,0,12.44
355,Punta Arenas,CL,-53.15,46.2,65,40,17.22
356,Zyryanskoye,RU,56.83,47.14,59,13,13.65
357,Kloulklubed,PW,7.04,80.6,88,75,9.17
358,Port Pirie,AU,-33.18,68.0,60,16,9.17
359,Rikitea,PF,-23.12,77.45,69,71,7.36
360,Kapaa,US,22.08,78.46,65,1,9.17
361,Punta Arenas,CL,-53.15,46.2,65,40,17.22
362,Hobart,AU,-42.88,55.8,66,75,4.7
363,Ushuaia,AR,-54.8,48.2,57,40,8.05
364,Bud,US,39.45,46.6,78,1,6.93
365,Tautira,PF,-17.73,86.0,70,66,4.7
366,Shuangyang,CN,43.52,59.0,26,100,13.42
367,Rikitea,PF,-23.12,77.45,69,71,7.36
368,New Norfolk,AU,-42.78,54.88,79,88,1.88
369,Port Alfred,ZA,-33.59,62.01,85,0,5.01
370,Northam,GB,51.03,49.98,95,58,3.0
371,Vila Franca do Campo,PT,37.72,62.6,93,75,11.41
372,Eloy,US,32.76,74.34,23,1,16.11
373,Arraial do Cabo,BR,-22.97,73.81,68,99,6.64
374,Kruisfontein,ZA,-34.0,65.25,35,1,7.34
375,Dunedin,NZ,-45.87,56.05,59,5,19.17
376,Butaritari,KI,3.07,83.17,79,100,16.71
377,Half Moon Bay,US,37.46,59.14,71,90,8.05
378,Rikitea,PF,-23.12,77.45,69,71,7.36
379,São José da Coroa Grande,BR,-8.9,80.4,79,100,4.99
380,Omboué,GA,-1.57,78.39,87,41,2.1
381,Thompson,CA,55.74,15.8,40,20,10.29
382,Ketchikan,US,55.34,57.9,50,1,17.22
383,Butaritari,KI,3.07,83.1,79,100,16.6
384,Mataura,NZ,-46.19,55.0,66,64,13.0
385,Port Shepstone,ZA,-30.74,68.79,84,0,14.67
386,Yellowknife,CA,62.46,29.55,92,75,4.7
387,Ushuaia,AR,-54.8,48.2,57,40,8.05
388,Albany,US,42.6,41.52,45,76,1.01
389,Camalú,MX,30.85,60.01,54,10,10.0
390,Menongue,AO,-14.66,61.97,60,99,3.06
391,Cabo San Lucas,MX,22.89,70.36,68,5,13.87
392,Blagoyevo,RU,63.37,34.07,94,100,3.15
393,Cockburn Town,TC,21.46,78.35,82,23,14.29
394,Lüderitz,NA,-26.65,59.0,93,10,8.05
395,Namwala,ZM,-15.75,62.13,63,67,3.8
396,Mataura,NZ,-46.19,55.0,66,64,13.0
397,Longyearbyen,SJ,78.22,24.8,85,20,8.05
398,Hilo,US,19.73,75.69,54,40,10.29
399,Bredasdorp,ZA,-34.53,48.2,93,94,5.82
400,Palmares do Sul,BR,-30.26,64.18,87,0,7.81
401,Bilibino,RU,68.05,10.71,80,49,6.22
402,Morondava,MG,-20.28,74.86,77,0,7.09
403,Half Moon Bay,US,37.46,59.2,71,90,8.05
404,Beyneu,KZ,45.32,61.14,33,99,12.12
405,Khovd,MN,48.01,40.06,33,0,3.96
406,Ancud,CL,-41.87,51.8,93,75,8.05
407,Rikitea,PF,-23.12,77.45,69,71,7.36
408,Mataura,NZ,-46.19,55.0,66,64,13.0
409,Puerto Carreño,CO,6.19,79.25,77,100,9.15
410,Hasaki,JP,35.73,65.44,45,20,10.29
411,Cherskiy,RU,68.75,9.97,91,0,12.28
412,West Odessa,US,31.84,73.4,35,1,5.82
413,Primero de Enero,CU,21.95,78.8,83,3,6.93
414,Rikitea,PF,-23.12,77.45,69,71,7.36
415,Bethel,US,41.37,35.38,80,1,3.36
416,Taman',RU,45.21,42.4,87,50,4.47
417,Dhidhdhoo,MV,6.88,86.02,73,5,11.56
418,Khasan,RU,42.43,51.66,52,100,13.2
419,La Sarre,CA,48.8,34.5,84,100,13.8
420,Petropavlovsk-Kamchatskiy,RU,53.05,42.8,52,20,22.37
421,Tuktoyaktuk,CA,69.45,10.4,85,75,8.05
422,Sarakhs,IR,36.54,55.4,82,18,2.24
423,Matara,LK,5.95,85.24,70,1,6.04
424,Pangnirtung,CA,66.15,2.21,83,99,4.32
425,Opuwo,NA,-18.06,67.66,48,86,3.09
426,Lingao,CN,19.91,82.35,63,2,3.22
427,Arraial do Cabo,BR,-22.97,73.81,68,99,6.64
428,Port Shepstone,ZA,-30.74,68.79,84,0,14.67
429,Albany,US,42.6,41.05,44,1,1.01
430,Basco,PH,20.45,79.92,87,54,15.41
431,Kruisfontein,ZA,-34.0,65.25,35,1,7.34
432,Katsuura,JP,35.13,66.0,49,0,14.32
433,Cherskiy,RU,68.75,9.97,91,0,12.28
434,Lebu,CL,-37.62,54.03,91,93,1.54
435,Vaini,TO,-21.2,82.4,74,40,9.17
436,East London,ZA,-33.02,68.09,61,0,14.14
437,Mataura,NZ,-46.19,55.0,66,64,13.0
438,Tasiilaq,GL,65.61,32.0,97,99,20.8
439,Jinchang,CN,38.5,60.01,17,15,15.97
440,Jamestown,US,42.1,40.82,55,1,3.36
441,Saldanha,ZA,-33.01,59.0,62,100,4.7
442,Mataura,NZ,-46.19,55.0,66,64,13.0
443,Ayan,RU,56.45,22.62,79,100,4.14
444,Busselton,AU,-33.65,62.58,83,80,22.12
445,Qaanaaq,GL,77.48,18.7,86,100,15.77
446,Rikitea,PF,-23.12,77.45,69,71,7.36
447,Yellowknife,CA,62.46,29.55,92,75,4.7
448,Yertarskiy,RU,56.79,42.78,62,63,6.55
449,Ushuaia,AR,-54.8,48.2,57,40,8.05
450,Mataura,NZ,-46.19,55.0,66,64,13.0
451,Sangar,RU,63.92,18.84,78,5,2.73
452,Kushiro,JP,42.98,50.0,53,75,13.87
453,Ushuaia,AR,-54.8,48.2,57,40,8.05
454,Bethel,US,41.37,35.38,80,1,3.36
455,Naze,JP,28.37,74.32,78,75,16.11
456,Opuwo,NA,-18.06,67.66,48,86,3.09
457,Puri,IN,19.8,77.0,78,75,9.17
458,Tevriz,RU,57.51,52.63,64,82,6.46
459,Pochutla,MX,15.74,84.0,69,19,5.14
460,Clyde River,CA,70.47,8.6,78,90,10.29
461,Busselton,AU,-33.65,62.58,83,80,22.12
462,Busselton,AU,-33.65,62.58,83,80,22.12
463,Mīrābād,AF,30.44,67.73,44,78,9.53
464,Saint George,US,37.1,67.46,27,1,12.75
465,Alta Floresta,BR,-9.88,70.59,89,0,3.47
466,Hithadhoo,MV,-0.6,83.95,74,68,11.1
467,Port Alfred,ZA,-33.59,62.01,85,0,5.01
468,Saskylakh,RU,71.92,19.65,88,0,7.0
469,Hobart,AU,-42.88,55.8,66,75,4.7
470,Feltre,IT,46.02,48.65,83,80,2.26
471,Jamestown,US,42.1,40.8,55,1,3.36
472,Mthatha,ZA,-31.59,55.4,93,0,2.24
473,Havøysund,NO,71.0,35.6,93,85,27.51
474,Klyuchi,RU,52.27,56.97,49,5,3.78
475,Torbay,CA,47.67,29.28,58,5,10.29
476,Bluff,NZ,-46.6,55.0,66,98,13.0
477,Vuktyl,RU,63.86,33.6,94,99,2.8
478,Saint George,US,37.1,67.12,21,1,12.75
479,Thompson,CA,55.74,15.8,40,20,10.29
480,Vardø,NO,70.37,36.18,83,100,15.28
481,Rikitea,PF,-23.12,77.45,69,71,7.36
482,Mataura,NZ,-46.19,55.0,66,64,13.0
483,Qasigiannguit,GL,68.82,24.8,62,97,18.34
484,Busselton,AU,-33.65,63.48,79,43,21.72
485,Gazojak,TM,41.19,68.16,28,0,6.13
486,Rikitea,PF,-23.12,77.63,69,60,8.28
487,Gushikawa,JP,26.35,75.85,83,75,13.87
488,Jalu,LY,29.03,62.76,45,3,7.56
489,Rikitea,PF,-23.12,77.63,69,60,8.28
490,Albany,US,42.6,41.52,45,76,1.01
491,Piopio,NZ,-38.47,63.05,63,100,6.24
492,Faanui,PF,-16.48,83.12,72,71,11.77
493,Haines Junction,CA,60.75,46.89,48,1,1.1
494,George Town,MY,5.41,83.91,88,20,5.82
495,Hithadhoo,MV,-0.6,83.95,74,68,11.1
496,Acarí,PE,-15.43,72.3,60,7,3.83
497,Dīglūr,IN,18.55,96.06,19,4,7.78
498,Flinders,AU,-34.58,69.01,66,38,1.01
499,Jardim,BR,-21.48,64.56,67,1,3.02
500,Mtwara,TZ,-10.27,76.48,87,100,11.72
501,George Town,MY,5.41,83.91,88,20,5.82
502,Rikitea,PF,-23.12,77.63,69,60,8.28
503,Albany,US,42.6,41.52,45,76,1.01
504,Hambantota,LK,6.12,77.0,100,20,4.7
505,Punta Arenas,CL,-53.15,46.2,65,40,17.22
506,Port Alfred,ZA,-33.59,62.01,85,0,5.01
507,Lebu,CL,-37.62,54.03,91,93,1.54
508,Puerto Ayora,EC,-0.74,80.87,74,75,9.17
509,São Filipe,CV,14.9,71.11,73,11,17.74
510,Rikitea,PF,-23.12,77.63,69,60,8.28
511,Hobart,AU,-42.88,55.8,66,75,4.7
512,Isangel,VU,-19.55,82.4,78,75,13.87
513,Jamestown,US,42.1,40.82,55,1,3.36
514,Meulaboh,ID,4.14,85.24,68,27,1.34
515,Jamestown,US,42.1,40.8,55,1,3.36
516,Ponta do Sol,PT,32.67,57.0,64,4,6.62
517,Jamestown,US,42.1,40.8,55,1,3.36
518,Province of Trapani,IT,37.83,57.6,93,92,6.93
519,Ushuaia,AR,-54.8,48.2,57,40,8.05
520,Punta Arenas,CL,-53.15,46.2,65,40,17.22
521,Fare,PF,-16.7,83.98,73,63,10.76
522,Mt. Pleasant,US,32.79,67.95,82,1,12.28
523,Ushuaia,AR,-54.8,48.2,57,40,8.05
524,Bredasdorp,ZA,-34.53,48.2,93,84,5.82
525,Togur,RU,58.36,45.61,67,96,11.86
526,Ushuaia,AR,-54.8,48.2,57,40,8.05
527,Kapaa,US,22.08,78.03,65,1,9.17
528,Rikitea,PF,-23.12,77.45,69,71,7.36
529,East London,ZA,-33.02,67.35,60,0,12.44
530,Punta Arenas,CL,-53.15,46.2,65,40,17.22
531,Coruripe,BR,-10.13,79.86,78,99,3.67
532,Albany,US,42.6,41.05,44,1,1.01
533,Richards Bay,ZA,-28.78,71.22,78,30,8.9
534,Cape Town,ZA,-33.93,57.2,76,94,2.24
535,Rikitea,PF,-23.12,77.63,69,60,8.28
536,Avarua,CK,-21.21,82.4,69,79,6.93
537,Vaini,TO,-21.2,82.4,74,40,9.17
538,Vaini,TO,-21.2,82.4,74,40,9.17
539,Alice Springs,AU,-23.7,80.6,26,9,5.82
540,Avarua,CK,-21.21,82.4,69,79,6.93
541,Punta Arenas,CL,-53.15,46.2,65,40,17.22
542,Dikson,RU,73.51,35.33,92,100,21.63
543,Malibu,US,34.01,57.29,78,80,4.0
544,Ribeira Grande,PT,38.52,60.64,71,79,20.6
545,Castro,BR,-24.79,54.43,71,31,5.95
546,Puerto Ayora,EC,-0.74,80.01,88,16,4.0
547,Vaini,TO,-21.2,82.4,74,40,9.17
548,Hilo,US,19.73,75.69,54,40,10.29
549,Albany,US,42.6,41.05,44,1,1.01
550,Carnarvon,AU,-24.87,77.0,69,3,13.87
551,Hithadhoo,MV,-0.6,84.13,73,25,11.07
552,Marawi,PH,8.0,84.42,47,99,4.25
553,George Town,MY,5.41,83.91,88,20,5.82
554,Puerto Ayora,EC,-0.74,80.01,88,16,4.0
555,Chui,UY,-33.7,63.37,87,0,9.31
556,Port Macquarie,AU,-31.43,73.67,67,9,5.7
557,Albany,US,42.6,41.05,44,1,1.01
558,Ribeira Grande,PT,38.52,60.64,71,79,20.6
559,Valparaíso,CL,-33.04,59.0,93,47,3.36
560,Inhambane,MZ,-23.86,73.27,80,1,12.97
561,San Quintín,MX,30.48,59.9,76,3,16.69
562,Sitka,US,57.05,52.07,71,20,5.82
563,Devils Lake,US,48.11,37.85,55,75,23.04
564,Puerto Ayora,EC,-0.74,80.87,74,75,9.17
565,Portsmouth,GB,50.8,45.21,93,14,1.01
566,Ushuaia,AR,-54.8,48.2,57,40,8.05
567,Okakarara,NA,-20.58,65.34,42,5,4.76
568,Rocha,UY,-34.48,59.18,92,0,6.73
569,Puerto Ayora,EC,-0.74,80.83,74,75,9.17
570,Mataura,NZ,-46.19,55.0,66,64,13.0
571,Omboué,GA,-1.57,78.39,87,41,2.1
572,Butaritari,KI,3.07,83.1,79,100,16.6
573,Bluff,NZ,-46.6,55.0,66,98,13.0
574,Pangnirtung,CA,66.15,2.21,83,99,4.32
575,Ilebo,CD,-4.32,71.26,86,100,1.74
576,Bengkulu,ID,-3.8,84.7,67,72,1.03
577,Norman Wells,CA,65.28,37.4,86,90,14.99
578,Cabo San Lucas,MX,22.89,70.36,68,5,13.87
579,Vaini,TO,-21.2,82.4,74,40,9.17
580,Aasiaat,GL,68.71,19.0,92,93,14.54
581,Coquimbo,CL,-29.95,59.0,87,7,3.36
582,Punta Arenas,CL,-53.15,46.2,65,40,17.22
583,Talnakh,RU,69.49,35.6,80,100,35.79
584,Lebu,CL,-37.62,54.03,91,93,1.54
585,Beringovskiy,RU,63.05,21.36,97,100,17.0
586,Klaksvík,FO,62.23,42.8,75,0,10.29
587,Angul,IN,20.85,90.81,47,0,3.58
588,Ribeira Brava,PT,32.65,57.0,64,10,3.6
589,Hermanus,ZA,-34.42,63.0,62,98,4.0
590,Barrow,US,71.29,8.6,71,1,12.75
591,Hobart,AU,-42.88,56.25,66,75,4.7
592,San Patricio,MX,19.22,77.0,73,20,9.17
593,Plettenberg Bay,ZA,-34.05,72.43,33,71,7.7
594,Bredasdorp,ZA,-34.53,48.2,93,94,5.82
595,Guerrero Negro,MX,27.98,60.64,72,0,19.42
596,Faya,SA,18.39,61.7,93,20,4.54
597,Yellowknife,CA,62.46,29.55,92,75,4.7
598,Punta Arenas,CL,-53.15,46.2,65,40,17.22
599,Ocniţa,RO,44.98,45.0,87,60,1.01
600,Channel-Port aux Basques,CA,47.57,31.1,90,95,10.63
601,East London,ZA,-33.02,67.35,60,0,12.44
602,Beringovskiy,RU,63.05,21.36,97,100,17.0
603,Lüderitz,NA,-26.65,59.0,93,10,8.05
604,Rikitea,PF,-23.12,77.63,69,60,8.28
605,Cherskiy,RU,68.75,9.97,91,0,12.28
606,Barrow,US,71.29,8.6,71,1,12.75
607,Selenduma,RU,50.91,35.17,55,45,21.92
608,Butaritari,KI,3.07,83.1,79,100,16.6
609,Honningsvåg,NO,70.98,39.33,87,99,15.35
610,Mataura,NZ,-46.19,55.0,67,64,10.0
611,Mar del Plata,AR,-38.0,63.86,82,59,10.29
612,Hermanus,ZA,-34.42,63.0,62,98,4.0
613,Barrow,US,71.29,8.6,71,1,12.75
614,Bredasdorp,ZA,-34.53,48.2,93,94,5.82
615,Honiara,SB,-9.43,89.6,66,40,4.7
616,Katsuura,JP,35.13,66.0,49,0,14.32
617,Igarka,RU,67.47,36.99,90,100,24.63
618,Kapaa,US,22.08,78.03,65,1,9.17
619,Faanui,PF,-16.48,83.17,73,90,11.07
620,Puerto Ayora,EC,-0.74,80.01,88,16,4.0
621,Hermanus,ZA,-34.42,63.0,62,98,4.0
622,Khatanga,RU,71.97,21.69,95,0,5.86
623,Nanortalik,GL,60.14,28.63,91,71,3.24
624,Mongo,TD,12.18,75.58,14,28,4.88
625,Mataura,NZ,-46.19,55.0,67,64,10.0
626,Geraldton,AU,-28.77,71.4,83,90,10.29
627,Thap Than,TH,15.46,95.07,40,0,6.93
628,Hilo,US,19.73,75.42,54,40,10.29
629,Rikitea,PF,-23.12,77.63,69,60,8.28
630,Bredasdorp,ZA,-34.53,48.2,93,94,5.82
631,Cherskiy,RU,68.75,9.97,91,0,12.28
632,Cheremnoye,RU,53.17,42.8,41,0,4.47
633,Severo-Kuril'sk,RU,50.68,33.4,92,81,17.72
634,Kavieng,PG,-2.57,83.57,72,82,2.66
635,Coyhaique,CL,-45.58,44.6,87,90,5.82
636,Muromtsevo,RU,56.37,51.46,69,100,5.39
637,Puerto Madryn,AR,-42.77,71.47,22,81,15.35
638,Cherskiy,RU,68.75,9.97,91,0,12.28
639,Mataura,NZ,-46.19,55.0,67,64,10.0
640,Keti Bandar,PK,24.14,81.19,74,99,14.03
641,Castro,BR,-24.79,54.43,71,31,5.95
642,Bluff,NZ,-46.6,55.0,66,98,13.0
643,Lahat,ID,-3.8,88.23,57,100,1.77
644,Yellowknife,CA,62.46,29.55,92,75,4.7
645,Hobart,AU,-42.88,56.25,66,75,4.7
646,Ribeira Grande,PT,38.52,60.64,71,79,20.6
647,Methóni,GR,36.82,54.64,93,44,8.72
648,Rikitea,PF,-23.12,77.63,69,60,8.28
649,Te Anau,NZ,-45.42,48.22,66,69,9.24
650,Superior,US,46.72,48.45,43,90,14.99
651,Hermanus,ZA,-34.42,63.0,62,98,4.0
652,Atuona,PF,-9.8,81.97,75,77,15.7
653,Ngunguru,NZ,-35.62,69.01,77,100,5.01
654,Najrān,SA,17.49,77.0,41,75,4.7
655,Albany,US,42.6,41.05,44,1,1.01
656,North Bend,US,43.41,53.31,76,90,5.82
657,Hilo,US,19.73,75.42,54,40,10.29
658,Mahébourg,MU,-20.41,76.6,78,75,13.87
659,Cape Town,ZA,-33.93,57.2,76,94,2.24
660,Lock Haven,US,41.14,32.31,83,3,1.01
661,Bredasdorp,ZA,-34.53,48.2,93,94,5.82
662,Auki,SB,-8.77,82.96,73,59,1.23
663,Punta Arenas,CL,-53.15,46.2,65,40,17.22
664,Esperance,AU,-33.87,62.6,82,75,21.92
665,Cabo San Lucas,MX,22.89,70.36,68,5,13.87
666,New Norfolk,AU,-42.78,54.88,79,88,1.88
667,Formosa do Rio Preto,BR,-11.05,70.92,79,100,0.72
668,Meulaboh,ID,4.14,85.24,68,27,1.34
669,Port Elizabeth,ZA,-33.92,59.0,100,0,2.24
670,Ushuaia,AR,-54.8,48.2,57,40,8.05
671,Vokhtoga,RU,58.81,30.74,96,39,2.28
672,Puerto del Rosario,ES,28.5,63.23,77,11,9.17
673,Butaritari,KI,3.07,83.1,79,100,16.6
674,Luanda,AO,-8.84,77.0,94,75,3.36
675,George Town,MY,5.41,83.91,88,20,5.82
676,Rikitea,PF,-23.12,77.63,69,60,8.28
677,Vila Franca do Campo,PT,37.72,62.6,93,75,11.41
678,Hermanus,ZA,-34.42,63.0,62,98,4.0
679,Lompoc,US,34.64,57.83,58,90,8.05
680,Lompoc,US,34.64,57.83,58,90,8.05
681,Aubenas,FR,44.62,55.31,77,100,0.78
682,Amalāpuram,IN,16.58,87.08,68,42,6.06
683,Puerto Escondido,MX,15.85,81.75,73,36,1.92
684,Paris,FR,48.85,55.2,93,96,8.05
685,Bluff,NZ,-46.6,55.0,67,98,10.0
686,Mar del Plata,AR,-38.0,63.86,82,59,10.29
687,Bredasdorp,ZA,-34.53,48.2,93,94,5.82
688,New Norfolk,AU,-42.78,55.2,80,88,1.99
689,Atuona,PF,-9.8,81.97,75,77,15.7
690,Manali,IN,13.17,83.84,88,40,2.24
691,Avarua,CK,-21.21,82.4,69,75,6.93
692,Ōzu,JP,33.5,60.8,63,75,14.99
693,Hasaki,JP,35.73,65.44,45,20,10.29
